"{{0.18079524707030462, 1.0724314927616663}, {0.18959111018168745, 1.1359753887716684}, {0.1980599779119168, 1.1201914250067946}}","{-0.806625805209022, -0.1592717976475096, -0.5691988271641357}"
"{{0.1980599779119168, 1.1201914250067946}, {0.1891002609583601, 1.0554620071189653}, {0.18079524707030462, 1.0724314927616663}}","{-0.8066197953267924, -0.15927215794589555, -0.5692072430057625}"
"{{0.18959111018168745, 1.1359753887716684}, {0.14820089492775965, 1.1873799798565292}, {0.15589777327846194, 1.1725550325736191}}","{-0.6824079189450879, -0.4567262062154539, -0.5707193747517891}"
"{{0.15589777327846194, 1.1725550325736191}, {0.1980599779119168, 1.1201914250067946}, {0.18959111018168745, 1.1359753887716684}}","{-0.6824117565847856, -0.4567274942423076, -0.5707137552906975}"
"{{0.14820089492775965, 1.1873799798565292}, {0.0637483954781155, 1.2217876479146503}, {0.0698675917040982, 1.2076040650839122}}","{-0.4567680560698124, -0.6824497182497514, -0.5706358953089435}"
"{{0.0698675917040982, 1.2076040650839122}, {0.15589777327846194, 1.1725550325736191}, {0.14820089492775965, 1.1873799798565292}}","{-0.4567319000325016, -0.6824183394226128, -0.5707023580750167}"
"{{0.0637483954781155, 1.2217876479146503}, {-0.05664527502748805, 1.2343407749784847}, {-0.05277216584884473, 1.2203915166984327}}","{-0.15928284470999537, -0.8066817526259797, -0.5691164427086685}"
"{{-0.05277216584884473, 1.2203915166984327}, {0.0698675917040982, 1.2076040650839122}, {0.0637483954781155, 1.2217876479146503}}","{-0.15928546115194153, -0.8066871682404021, -0.5691080340865822}"
"{{-0.05863573983204974, 1.2093973154799234}, {-0.18582398899524435, 1.1974746484714103}, {-0.1881712367799165, 1.2147149867780545}}","{-0.18719543900603622, 0.9480543201273466, 0.25719812150016147}"
"{{-0.1881712367799165, 1.2147149867780545}, {-0.060741411991174075, 1.2266605181715735}, {-0.05863573983204974, 1.2093973154799234}}","{-0.1872002323563622, 0.9480603086151026, 0.25717255731193495}"
"{{-0.18582398899524435, 1.1974746484714103}, {-0.30100657042782697, 1.1647717867687868}, {-0.30357354466997877, 1.1819492084706242}}","{-0.537343769173849, 0.8028548080597503, 0.25823599846919615}"
"{{-0.30357354466997877, 1.1819492084706242}, {-0.1881712367799165, 1.2147149867780545}, {-0.18582398899524435, 1.1974746484714103}}","{-0.537359600082409, 0.802863117564051, 0.2581772155992974}"
"{{-0.30100657042782697, 1.1647717867687868}, {-0.39248565403330343, 1.1159058331273752}, {-0.3952272306838503, 1.1329901780918752}}","{-0.8028554637463475, 0.537344208019209, 0.25823304676366715}"
"{{-0.3952272306838503, 1.1329901780918752}, {-0.30357354466997877, 1.1819492084706242}, {-0.30100657042782697, 1.1647717867687868}}","{-0.8028503612351572, 0.5373437352704901, 0.25824989376597113}"
"{{-0.39248565403330343, 1.1159058331273752}, {-0.44856340971517994, 1.0554938903024988}, {-0.4514112494224614, 1.0724631030864908}}","{-0.9480223932387137, 0.18718913497070147, 0.2573203638790799}"
"{{-0.4514112494224614, 1.0724631030864908}, {-0.3952272306838503, 1.1329901780918752}, {-0.39248565403330343, 1.1159058331273752}}","{-0.9480321243223137, 0.18718628660424647, 0.2572865821612817}"
"{{-0.060741411991174075, 1.2266605181715735}, {-0.1881712367799165, 1.2147149867780545}, {-0.18993125937426633, 1.2236080419523874}}","{-0.1420813078797412, 0.7195591955274988, -0.679740734459103}"
"{{-0.18993125937426633, 1.2236080419523874}, {-0.05971138041910461, 1.2358150580066418}, {-0.060741411991174075, 1.2266605181715735}}","{-0.14208222772519236, 0.7195676185411588, -0.6797316256521039}"
