"{-0.4706017996989325, 1.632399992705672}","{-0.38401871583357405, 1.6153036175748596}","{-0.3843729892042611, 1.646740425633326}"
"{-0.426742530008767, 2.0014080483369097}","{-0.5615347305721267, 2.028023390729202}","{-0.5291134769832331, 1.9180363540642198}"
"{-0.7193468511913542, 1.7279540528989263}","{-0.7837082200226181, 1.631790290390621}","{-0.7333597570078083, 1.5669700007007046}"
"{-0.6963269311354865, 2.0014080483369097}","{-0.5615347305721267, 2.028023390729202}","{-0.6006141279458246, 2.1478997274713394}"
"{-0.8053622355259159, 1.9284316966701693}","{-0.6963269311354865, 2.0014080483369097}","{-0.7364415114454529, 2.1210800543555783}"
"{-0.6767131467427896, 1.6516065939355533}","{-0.7333597570078083, 1.5669700007007046}","{-0.693474297562022, 1.5221592669383475}"
"{-0.8341804660563784, 1.7171385807721486}","{-0.7639075823945428, 1.8221345363610089}","{-0.8053622355259159, 1.9284316966701693}"
"{-0.5291134769832331, 1.9180363540642198}","{-0.3993153271607837, 1.8924074200228447}","{-0.426742530008767, 2.0014080483369097}"
"{-0.7639075823945428, 1.8221345363610089}","{-0.8341804660563784, 1.7171385807721486}","{-0.7837082200226181, 1.631790290390621}"
"{-0.6435243440337456, 1.5967904721050499}","{-0.693474297562022, 1.5221592669383475}","{-0.6741006064292442, 1.498388482962156}"
"{-0.6006141279458246, 2.1478997274713394}","{-0.7364415114454529, 2.1210800543555783}","{-0.6963269311354865, 2.0014080483369097}"
"{-0.2892603505162178, 1.7279540528989263}","{-0.38542411302452306, 1.7923157999578905}","{-0.3828168936848231, 1.7082533869930934}"
"{-0.29818030044997423, 1.6516065939355533}","{-0.3828168936848231, 1.7082533869930934}","{-0.3843729892042611, 1.646740425633326}"
"{-0.7364415114454529, 2.1210800543555783}","{-0.8463148569412223, 2.047543112832871}","{-0.8053622355259159, 1.9284316966701693}"
"{-0.30974178403755875, 1.5967904721050499}","{-0.3843729892042611, 1.646740425633326}","{-0.38401871583357405, 1.6153036175748596}"
"{-0.29431937157192345, 1.8221345363610089}","{-0.3993153271607837, 1.8924074200228447}","{-0.38542411302452306, 1.7923157999578905}"
"{-0.8053622355259159, 1.9284316966701693}","{-0.8783387977681802, 1.8193963922797398}","{-0.8341804660563784, 1.7171385807721486}"
"{-0.4647867444461962, 2.1210800543555783}","{-0.6006141279458246, 2.1478997274713394}","{-0.5615347305721267, 2.028023390729202}"
"{-0.8783387977681802, 1.8193963922797398}","{-0.8053622355259159, 1.9284316966701693}","{-0.8463148569412223, 2.047543112832871}"
"{-0.5615347305721267, 2.028023390729202}","{-0.426742530008767, 2.0014080483369097}","{-0.4647867444461962, 2.1210800543555783}"
"{-0.7540191505631533, 1.4623401707891457}","{-0.7333597570078083, 1.5669700007007046}","{-0.7837082200226181, 1.631790290390621}"
