"{0.179978004916548, 1.1400648533301707}","{0.13968848684368151, 1.1901025244479666}","{0.14820089492775965, 1.1873799798565292}"
"{0.14820089492775965, 1.1873799798565292}","{0.18959111018168745, 1.1359753887716684}","{0.179978004916548, 1.1400648533301707}"
"{0.13968848684368151, 1.1901025244479666}","{0.05748108374903559, 1.223595671335231}","{0.0637483954781155, 1.2217876479146503}"
"{0.0637483954781155, 1.2217876479146503}","{0.14820089492775965, 1.1873799798565292}","{0.13968848684368151, 1.1901025244479666}"
"{0.05748108374903559, 1.223595671335231}","{-0.05971138041910461, 1.2358150580066418}","{-0.05664527502748805, 1.2343407749784847}"
"{-0.05664527502748805, 1.2343407749784847}","{0.0637483954781155, 1.2217876479146503}","{0.05748108374903559, 1.223595671335231}"
"{0.18079524707030462, 1.0724314927616663}","{0.18959111018168745, 1.1359753887716684}","{0.1980599779119168, 1.1201914250067946}"
"{0.1980599779119168, 1.1201914250067946}","{0.1891002609583601, 1.0554620071189653}","{0.18079524707030462, 1.0724314927616663}"
"{0.18959111018168745, 1.1359753887716684}","{0.14820089492775965, 1.1873799798565292}","{0.15589777327846194, 1.1725550325736191}"
"{0.15589777327846194, 1.1725550325736191}","{0.1980599779119168, 1.1201914250067946}","{0.18959111018168745, 1.1359753887716684}"
"{0.14820089492775965, 1.1873799798565292}","{0.0637483954781155, 1.2217876479146503}","{0.0698675917040982, 1.2076040650839122}"
"{0.0698675917040982, 1.2076040650839122}","{0.15589777327846194, 1.1725550325736191}","{0.14820089492775965, 1.1873799798565292}"
"{0.0637483954781155, 1.2217876479146503}","{-0.05664527502748805, 1.2343407749784847}","{-0.05277216584884473, 1.2203915166984327}"
"{-0.05277216584884473, 1.2203915166984327}","{0.0698675917040982, 1.2076040650839122}","{0.0637483954781155, 1.2217876479146503}"
"{-0.05863573983204974, 1.2093973154799234}","{-0.18582398899524435, 1.1974746484714103}","{-0.1881712367799165, 1.2147149867780545}"
"{-0.1881712367799165, 1.2147149867780545}","{-0.060741411991174075, 1.2266605181715735}","{-0.05863573983204974, 1.2093973154799234}"
"{-0.18582398899524435, 1.1974746484714103}","{-0.30100657042782697, 1.1647717867687868}","{-0.30357354466997877, 1.1819492084706242}"
"{-0.30357354466997877, 1.1819492084706242}","{-0.1881712367799165, 1.2147149867780545}","{-0.18582398899524435, 1.1974746484714103}"
"{-0.30100657042782697, 1.1647717867687868}","{-0.39248565403330343, 1.1159058331273752}","{-0.3952272306838503, 1.1329901780918752}"
"{-0.3952272306838503, 1.1329901780918752}","{-0.30357354466997877, 1.1819492084706242}","{-0.30100657042782697, 1.1647717867687868}"
"{-0.39248565403330343, 1.1159058331273752}","{-0.44856340971517994, 1.0554938903024988}","{-0.4514112494224614, 1.0724631030864908}"
"{-0.4514112494224614, 1.0724631030864908}","{-0.3952272306838503, 1.1329901780918752}","{-0.39248565403330343, 1.1159058331273752}"
"{-0.060741411991174075, 1.2266605181715735}","{-0.1881712367799165, 1.2147149867780545}","{-0.18993125937426633, 1.2236080419523874}"
"{-0.18993125937426633, 1.2236080419523874}","{-0.05971138041910461, 1.2358150580066418}","{-0.060741411991174075, 1.2266605181715735}"
"{-0.1881712367799165, 1.2147149867780545}","{-0.30357354466997877, 1.1819492084706242}","{-0.30785934886885863, 1.1901249018397522}"
"{-0.30785934886885863, 1.1901249018397522}","{-0.18993125937426633, 1.2236080419523874}","{-0.1881712367799165, 1.2147149867780545}"
"{-0.30357354466997877, 1.1819492084706242}","{-0.3952272306838503, 1.1329901780918752}","{-0.4015188108279065, 1.140093928170958}"
"{-0.4015188108279065, 1.140093928170958}","{-0.30785934886885863, 1.1901249018397522}","{-0.30357354466997877, 1.1819492084706242}"
"{-0.3952272306838503, 1.1329901780918752}","{-0.4514112494224614, 1.0724631030864908}","{-0.4589326274780409, 1.078242063665344}"
"{-0.4589326274780409, 1.078242063665344}","{-0.4015188108279065, 1.140093928170958}","{-0.3952272306838503, 1.1329901780918752}"
"{-0.05971138041910461, 1.2358150580066418}","{-0.18993125937426633, 1.2236080419523874}","{-0.19042216985277277, 1.2218003564429167}"
"{-0.19042216985277277, 1.2218003564429167}","{-0.05664527502748805, 1.2343407749784847}","{-0.05971138041910461, 1.2358150580066418}"
"{-0.18993125937426633, 1.2236080419523874}","{-0.30785934886885863, 1.1901249018397522}","{-0.31157069920364483, 1.1874029684362357}"
"{-0.31157069920364483, 1.1874029684362357}","{-0.19042216985277277, 1.2218003564429167}","{-0.18993125937426633, 1.2236080419523874}"
"{-0.30785934886885863, 1.1901249018397522}","{-0.4015188108279065, 1.140093928170958}","{-0.4077888087260967, 1.1360052577676139}"
"{-0.4077888087260967, 1.1360052577676139}","{-0.31157069920364483, 1.1874029684362357}","{-0.30785934886885863, 1.1901249018397522}"
"{-0.4015188108279065, 1.140093928170958}","{-0.4589326274780409, 1.078242063665344}","{-0.4667717630362841, 1.0724638711121717}"
